view,asset,file,width,height,pivot_x,pivot_y,end,length,neck_socket,cervical_socket,shoulder_sockets,attachment,open_neck_edge,sha256
front,head,workspace/plain-walk-v13/parts/front/head.png,68,65,34,62,null,,null,null,null,,null,26a4f379176a5aea62ac90e07148f81b72259b786f9e45b8018a689ce39ba105
front,upper_body,workspace/plain-walk-v13/parts/front/upper_body.png,34,34,17.0,32,null,,null,null,null,,null,77d2e2e526ee3858a7d752816735ba38e13a99992616ea9dde903d5b6ab203cf
front,lower_body,workspace/plain-walk-v13/parts/front/lower_body.png,30,26,15.0,-2,null,,null,null,null,,null,1af3df7a438d9b13b39bfbfe33fab37f74c52e99e4e92213371571eea132562f
front,neck,workspace/plain-walk-v13/parts/front/neck.png,9,10,4.5,5.0,null,,null,null,null,,null,d3d1c08fa9193b8067762e30edc5133ef968e0affa2738103b7c7a4440921cf9
front,upper_arm,workspace/plain-walk-v13/parts/front/upper_arm.png,9,28,4.5,3,"[4.5, 25]",22,null,null,null,,null,1ec4e9342aafa7f5260d44b662df85af4dfb48849cccec152366f36b9aa981a9
front,elbow,workspace/plain-walk-v13/parts/front/elbow.png,6,6,3.0,3.0,null,,null,null,null,,null,9fdd69c480fefeca51d6c5601c6ea1082151d6b69ba635d15ef8861048f80391
front,forearm,workspace/plain-walk-v13/parts/front/forearm.png,7,23,3.5,3,"[3.5, 20]",17,null,null,null,,null,d317587e7c8267aadceddf2d2bdecea331d49387498967a0e90ef62a3a7a0220
front,hand,workspace/plain-walk-v13/parts/front/hand.png,8,9,4.0,2,null,,null,null,null,,null,b9c214913573ae41a01a189794d915693cc9ef373435c8821609939f017a6a9f
front,thigh,workspace/plain-walk-v13/parts/front/thigh.png,14,32,7.0,3,"[7.0, 29]",26,null,null,null,,null,8447c47795c54b345fa968658e950def10515d3c5220872ca32cb1e684c3440a
front,knee,workspace/plain-walk-v13/parts/front/knee.png,8,8,4.0,4.0,null,,null,null,null,,null,2d57b92223e9d80599806f76327e7afb0e585fe38c0e7d179ae631e3127a3c97
front,shin,workspace/plain-walk-v13/parts/front/shin.png,10,34,5.0,3,"[5.0, 31]",28,null,null,null,,null,48fb5b9c7f825e5d6b37522fce14fb9c92869ed9c5241e1dc4be2da275d5c961
front,foot,workspace/plain-walk-v13/parts/front/foot.png,12,15,6.0,2,null,,null,null,null,,null,d1594b8a31a0bf9d56ffb60a06255cc2685d29903005681eeceba884440b5662
