version,view,head_pivot,neck_socket,cervical_socket,neck_tip_offset,head_offset,frame0_head_x,frame0_head_y,frame0_head_left,frame0_head_top
4,down_right,"[31, 62]","[16.0, 2]",null,"[0.35, -5]","[0.5, -0.5]",97.09543055740073,124.50913805864417,66.09543055740073,62.50913805864417
4,up_right,"[31, 62]","[16.0, 2]",null,"[0.35, -5]","[0.5, -0.5]",97.09543055740073,124.50913805864417,66.09543055740073,62.50913805864417
5,down_right,"[31, 62]","[16.5, 2]",null,"[1.8, -5.5]","[1.5, -0.5]",100.04527825642333,124.02147814704801,69.04527825642333,62.021478147048015
5,up_right,"[31, 62]","[16.0, 2]",null,"[2.2, -5.5]","[1.5, -0.5]",99.94543055740074,124.00913805864417,68.94543055740074,62.00913805864417
6,down_right,"[31.5, 57]","[16.5, 2]",null,"[1.8, -5.5]","[1.5, -0.5]",100.04527825642333,124.02147814704801,68.54527825642333,67.02147814704801
6,up_right,"[33, 55]","[16.0, 2]",null,"[2.2, -5.5]","[1.5, -0.5]",99.94543055740074,124.00913805864417,66.94543055740074,69.00913805864417
7,down_right,"[30, 62]","[16.5, 2]",null,"[1.8, -5.5]","[1.5, -0.5]",100.04527825642333,124.02147814704801,70.04527825642333,62.021478147048015
7,up_right,"[34, 62]","[16.0, 2]",null,"[2.2, -5.5]","[1.5, -0.5]",99.94543055740074,124.00913805864417,65.94543055740074,62.00913805864417
8,down_right,"[30, 62]","[16.5, 2]",null,"[1.8, -5.5]","[1.5, -0.5]",100.04527825642333,124.02147814704801,70.04527825642333,62.021478147048015
8,up_right,"[34, 62]","[16.0, 2]",null,"[2.2, -5.5]","[1.5, -0.5]",99.94543055740074,124.00913805864417,65.94543055740074,62.00913805864417
9,down_right,"[26, 60]","[16.5, 2]","[16.5, 9]","[4, -9]","[0, 0]",100.57251701876936,128.01934593336438,74.57251701876936,68.01934593336438
9,up_right,"[26, 60]","[16.0, 2]","[16.0, 9]","[6, -11]","[0, 0]",102.07266931974677,126.00700584496053,76.07266931974677,66.00700584496053
10,down_right,"[26, 60]","[16.5, 2]","[16.5, 9]","[2, -9]","[0, 0]",98.57251701876936,128.01934593336438,72.57251701876936,68.01934593336438
10,up_right,"[26, 60]","[16.0, 2]","[16.0, 9]","[2, -11]","[0, 0]",98.07266931974677,126.00700584496053,72.07266931974677,66.00700584496053
11,down_right,"[26, 60]","[16.5, 2]","[16.5, 9]","[1, -9]","[0, 0]",97.57251701876936,128.01934593336438,71.57251701876936,68.01934593336438
11,up_right,"[26, 60]","[16.0, 2]","[16.0, 9]","[0, -11]","[0, 0]",96.07266931974677,126.00700584496053,70.07266931974677,66.00700584496053
12,down_right,"[26, 60]","[16.5, 2]","[16.5, 9]","[0, -9]","[0, 0]",96.57251701876936,128.01934593336438,70.57251701876936,68.01934593336438
12,up_right,"[26, 60]","[16.0, 2]","[16.0, 9]","[-1, -11]","[0, 0]",95.07266931974677,126.00700584496053,69.07266931974677,66.00700584496053
13,down_right,"[26, 60]","[16.5, 2]","[16.5, 9]","[-2, -9]","[0, 0]",94.57251701876936,128.01934593336438,68.57251701876936,68.01934593336438
13,up_right,"[26, 60]","[16.0, 2]","[16.0, 9]","[-3, -11]","[0, 0]",93.07266931974677,126.00700584496053,67.07266931974677,66.00700584496053
