view,frame_zero_based,time_ms,draw_index,id,asset,parent,file,position_x,position_y,angle_degrees,scale_x,scale_y,pivot_x,pivot_y,native_width,native_height
front,0,0,0,hip_joint_near,hip,root,workspace/plain-walk-v13/parts/front/hip.png,103.8,179.5,0,1,1,4,4,8,8
front,0,0,1,shin_near,shin,knee_near,workspace/plain-walk-v13/parts/front/shin.png,104.14999999999999,203.35812196817852,1.3202880284815148,1,0.705254308257279,5,3,10,34
front,0,0,2,knee_joint_near,knee,hip_near,workspace/plain-walk-v13/parts/front/knee.png,104.14999999999999,203.35812196817852,0,1,0.838348898411614,4,4,8,8
front,0,0,3,thigh_near,thigh,hip_near,workspace/plain-walk-v13/parts/front/thigh.png,103.8,179.5,-0.8404720398956725,1,0.9177188111529093,7,3,14,32
front,0,0,4,ankle_joint_near,ankle,knee_near,workspace/plain-walk-v13/parts/front/ankle.png,103.695,223.1,0,1,1,3,3,6,6
front,0,0,5,foot_near,foot_toe,ankle_near,workspace/plain-walk-v13/parts/front/foot_toe.png,103.695,223.1,-0.35,0.9,0.9,5,2,10,13
front,0,0,6,shoulder_joint_far,shoulder,thorax,workspace/plain-walk-v13/parts/front/shoulder.png,82.68198708178647,138.56904691816538,0,1,1,3.5,3.5,7,7
front,0,0,7,upper_arm_far,upper_arm,shoulder_far,workspace/plain-walk-v13/parts/front/upper_arm.png,82.68198708178647,138.56904691816538,10.475884648512203,1,0.9999808430909257,4.5,3,9,28
front,0,0,8,elbow_joint_far,elbow,shoulder_far,workspace/plain-walk-v13/parts/front/elbow.png,78.68198708178647,160.20192597504632,0,1,1,3,3,6,6
front,0,0,9,forearm_far,forearm,elbow_far,workspace/plain-walk-v13/parts/front/forearm.png,78.68198708178647,160.20192597504632,9.312808704359535,1,1.013356479661546,3.5,3,7,23
front,0,0,10,wrist_joint_far,wrist,elbow_far,workspace/plain-walk-v13/parts/front/wrist.png,75.89422784576556,177.20192597504632,0,1,1,2.5,2.5,5,5
front,0,0,11,hand_far,hand,wrist_far,workspace/plain-walk-v13/parts/front/hand.png,75.89422784576556,177.20192597504632,-2.56,1,0.9902680687415704,4,2,8,9
front,0,0,12,waist_joint,waist,root,workspace/plain-walk-v13/parts/front/waist.png,95.3,160,0,1,1,9,5,18,10
front,0,0,13,lower_body,lower_body,root,workspace/plain-walk-v13/parts/front/lower_body.png,95.3,160,0,1,1,15,-2,30,26
front,0,0,14,hip_joint_far,hip,root,workspace/plain-walk-v13/parts/front/hip.png,86.8,179.5,0,1,1,4,4,8,8
front,0,0,15,thigh_far,thigh,hip_far,workspace/plain-walk-v13/parts/front/thigh.png,86.8,179.5,0.8639171632348774,1,0.8928154213219786,7,3,14,32
front,0,0,16,knee_joint_far,knee,hip_far,workspace/plain-walk-v13/parts/front/knee.png,86.45,202.71056221955925,0,1,0.9623167300422261,4,4,8,8
front,0,0,17,shin_far,shin,knee_far,workspace/plain-walk-v13/parts/front/shin.png,86.45,202.71056221955925,-0.5339429368823652,1,0.9389492633510782,5,3,10,34
front,0,0,18,ankle_joint_far,ankle,knee_far,workspace/plain-walk-v13/parts/front/ankle.png,86.695,229,0,1,1,3,3,6,6
front,0,0,19,foot_far,foot_heel,ankle_far,workspace/plain-walk-v13/parts/front/foot_heel.png,86.695,229,-0.35,1,1,6,2,12,14
front,0,0,20,neck,neck,cervical,workspace/plain-walk-v13/parts/front/neck.png,95.3,128,-0.315,1,1,4.5,5,9,10
front,0,0,21,upper_body,upper_body,waist,workspace/plain-walk-v13/parts/front/upper_body.png,95.3,160,-0.315,1,1,17,32,34,34
front,0,0,22,shoulder_joint_near,shoulder,thorax,workspace/plain-walk-v13/parts/front/shoulder.png,107.68160926194466,138.43160293196257,0,1,1,3.5,3.5,7,7
front,0,0,23,upper_arm_near,upper_arm,shoulder_near,workspace/plain-walk-v13/parts/front/upper_arm.png,107.68160926194466,138.43160293196257,-11.603009122321035,-1,0.9588041700079665,4.5,3,9,28
front,0,0,24,elbow_joint_near,elbow,shoulder_near,workspace/plain-walk-v13/parts/front/elbow.png,111.92417013506362,159.09423849636767,0,1,1,3,3,6,6
front,0,0,25,forearm_near,forearm,elbow_near,workspace/plain-walk-v13/parts/front/forearm.png,111.92417013506362,159.09423849636767,-22.45533150366975,-1,0.5333064765528681,3.5,3,7,23
