view,frame_zero_based,time_ms,joint,parent,position_x,position_y,metadata_json
front,0,0,root,,95.3,179.5,{}
front,0,0,sacrum,root,95.3,172,{}
front,0,0,lumbar,sacrum,95.3,160,{}
front,0,0,thorax,lumbar,95.3,143,{}
front,0,0,cervical,thorax,95.3,128,{}
front,0,0,waist,lumbar,95.3,160,{}
front,0,0,neck,cervical,95.3,124,{}
front,0,0,head,neck,95.3,124,{}
front,0,0,hip_far,root,86.8,179.5,"{""phase"": 0, ""inside_pelvis"": true, ""thigh_depth"": 11.578807065270496}"
front,0,0,knee_far,hip_far,86.45,202.71056221955925,"{""sagittal_position"": [115.5788070652705, 202.77941637896538], ""flex"": 6.782988592399299, ""occluded_by"": ""shin""}"
front,0,0,ankle_far,knee_far,86.695,229,"{""foot_angle"": -0.35, ""foot_pitch"": -14, ""foot_asset"": ""foot_heel"", ""contact"": true, ""sagittal_position"": [125, 229.1468418066897]}"
front,0,0,hip_near,root,103.8,179.5,"{""phase"": 4, ""inside_pelvis"": true, ""thigh_depth"": -5.508964755137342}"
front,0,0,knee_near,hip_near,104.14999999999999,203.35812196817852,"{""sagittal_position"": [98.49103524486266, 204.90966956350778], ""flex"": 29.09719828590949, ""occluded_by"": ""thigh""}"
front,0,0,ankle_near,knee_near,103.695,223.1,"{""foot_angle"": -0.35, ""foot_pitch"": 20, ""foot_asset"": ""foot_toe"", ""contact"": true, ""sagittal_position"": [80, 225.93540654400974]}"
front,0,0,shoulder_far,thorax,82.68198708178647,138.56904691816538,"{""upper_angle"": 16}"
front,0,0,elbow_far,shoulder_far,78.68198708178647,160.20192597504632,"{""flex"": 16, ""local_rotation"": -16, ""depth"": -6.064021827973981}"
front,0,0,wrist_far,elbow_far,75.89422784576556,177.20192597504632,"{""local_rotation"": 8, ""depth"": -6.064021827973981}"
front,0,0,hand_far,wrist_far,76.20384401912692,184.126884413599,"{""angle"": 8}"
front,0,0,shoulder_near,thorax,107.68160926194466,138.43160293196257,"{""upper_angle"": -16}"
front,0,0,elbow_near,shoulder_near,111.92417013506362,159.09423849636767,"{""flex"": 40, ""local_rotation"": -40, ""depth"": 6.064021827973981}"
front,0,0,wrist_near,elbow_near,115.387127381594,167.4730267566955,"{""local_rotation"": 23, ""depth"": 20.157660561409692}"
front,0,0,hand_near,wrist_near,115.40147217881493,173.34370320682882,"{""angle"": -33}"
front,1,120,root,,95.3,181,{}
front,1,120,sacrum,root,95.3,173.5,{}
front,1,120,lumbar,sacrum,95.3,161.5,{}
front,1,120,thorax,lumbar,95.3,144.5,{}
front,1,120,cervical,thorax,95.3,129.5,{}
front,1,120,waist,lumbar,95.3,161.5,{}
front,1,120,neck,cervical,95.3,125.5,{}
front,1,120,head,neck,95.3,125.5,{}
front,1,120,hip_far,root,86.8,181,"{""phase"": 1, ""inside_pelvis"": true, ""thigh_depth"": 13.501192497850425}"
front,1,120,knee_far,hip_far,86.45,202.00211857020633,"{""sagittal_position"": [117.50119249785043, 202.2197615004299], ""flex"": 38.466957331949864, ""occluded_by"": ""shin""}"
front,1,120,ankle_far,knee_far,86.695,228.26,"{""foot_angle"": -0.35, ""foot_pitch"": 0, ""foot_asset"": ""foot"", ""contact"": true, ""sagittal_position"": [114, 230]}"
front,1,120,hip_near,root,103.8,181,"{""phase"": 5, ""inside_pelvis"": true, ""thigh_depth"": 10.748091892772663}"
front,1,120,knee_near,hip_near,104.14999999999999,203.7452062857944,"{""sagittal_position"": [114.74809189277266, 203.6744275678318], ""flex"": 78.75206665346361, ""occluded_by"": ""thigh""}"
front,1,120,ankle_near,knee_near,103.695,219.43,"{""foot_angle"": -0.35, ""foot_pitch"": 22, ""foot_asset"": ""foot_toe"", ""contact"": false, ""sagittal_position"": [92, 220]}"
front,1,120,shoulder_far,thorax,82.68198708178647,140.06904691816538,"{""upper_angle"": 12}"
front,1,120,elbow_far,shoulder_far,78.68198708178647,161.95421871014835,"{""flex"": 14, ""local_rotation"": -14, ""depth"": -4.5740571979907045}"
front,1,120,wrist_far,elbow_far,75.82131388317816,178.8963994539576,"{""local_rotation"": 10, ""depth"": -3.980765754048188}"
front,1,120,hand_far,wrist_far,76.08741343415639,185.8231665627507,"{""angle"": 8}"
front,1,120,shoulder_near,thorax,107.68160926194466,139.93160293196257,"{""upper_angle"": -12}"
front,1,120,elbow_near,shoulder_near,111.86457154986428,161.08492557226705,"{""flex"": 42, ""local_rotation"": -42, ""depth"": 4.5740571979907045}"
front,1,120,wrist_near,elbow_near,115.32306637552743,169.97701174888914,"{""local_rotation"": 21, ""depth"": 18.32734610236481}"
front,1,120,hand_near,wrist_near,115.30052458428294,175.8476624473215,"{""angle"": -33}"
front,2,240,root,,96,179.5,{}
front,2,240,sacrum,root,96,172,{}
front,2,240,lumbar,sacrum,96,160,{}
front,2,240,thorax,lumbar,96,143,{}
front,2,240,cervical,thorax,96,128,{}
front,2,240,waist,lumbar,96,160,{}
front,2,240,neck,cervical,96,124,{}
front,2,240,head,neck,96,124,{}
front,2,240,hip_far,root,87.5,179.5,"{""phase"": 2, ""inside_pelvis"": true, ""thigh_depth"": 2.559442220479596}"
front,2,240,knee_far,hip_far,87.15,201.88197466046907,"{""sagittal_position"": [106.5594422204796, 202.37371746618615], ""flex"": 15.020968015589153, ""occluded_by"": ""thigh""}"
front,2,240,ankle_far,knee_far,87.5,225.78,"{""foot_angle"": 0, ""foot_pitch"": 0, ""foot_asset"": ""foot"", ""contact"": true, ""sagittal_position"": [102, 230]}"
front,2,240,hip_near,root,104.5,179.5,"{""phase"": 6, ""inside_pelvis"": true, ""thigh_depth"": 19.2721812120285}"
front,2,240,knee_near,hip_near,104.85,196.43876817706612,"{""sagittal_position"": [123.2721812120285, 193.95230733544236], ""flex"": 69.35927675915639, ""occluded_by"": ""shin""}"
front,2,240,ankle_near,knee_near,104.5,221.72,"{""foot_angle"": 0, ""foot_pitch"": -6, ""foot_asset"": ""foot_heel"", ""contact"": false, ""sagittal_position"": [113, 220]}"
front,2,240,shoulder_far,thorax,83.5,138.5,"{""upper_angle"": 3}"
front,2,240,elbow_far,shoulder_far,79.5,160.5619610475882,"{""flex"": 20, ""local_rotation"": -20, ""depth"": -1.1513910373447642}"
front,2,240,wrist_far,elbow_far,76.36633752199704,176.4215163805369,"{""local_rotation"": 14, ""depth"": 3.8189279429417606}"
front,2,240,hand_far,wrist_far,76.5468857507593,183.40959113497487,"{""angle"": -3}"
front,2,240,shoulder_near,thorax,108.5,138.5,"{""upper_angle"": -2}"
front,2,240,elbow_near,shoulder_near,112.5307115570982,160.4251750802237,"{""flex"": 32, ""local_rotation"": -32, ""depth"": 0.7677889274550214}"
front,2,240,wrist_near,elbow_near,115.85959239002602,173.7583114649392,"{""local_rotation"": 15, ""depth"": 10.274068286457718}"
